"Ano","Universidad","Semestre","Nivel Educativo","Programa","Categoria Docentes","Genero","Numero"
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Tiempo completo","Hombre",4
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Medio tiempo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Catedrático","Hombre",7
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Tiempo completo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Catedrático","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Psicología - Neiva","Docente Tiempo completo","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Psicología - Neiva","Docente Medio tiempo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Psicología - Neiva","Docente Catedrático","Hombre",5
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Psicología - Neiva","Docente Tiempo completo","Mujer",5
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Psicología - Neiva","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Psicología - Neiva","Docente Catedrático","Mujer",10
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería de Sistemas","Docente Tiempo completo","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería de Sistemas","Docente Medio tiempo","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería de Sistemas","Docente Catedrático","Hombre",7
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería de Sistemas","Docente Tiempo completo","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería de Sistemas","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería de Sistemas","Docente Catedrático","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Técnico en Fútbol","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Técnico en Fútbol","Docente Medio tiempo","Hombre",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Técnico en Fútbol","Docente Catedrático","Hombre",2
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Técnico en Fútbol","Docente Tiempo completo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Técnico en Fútbol","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Técnico en Fútbol","Docente Catedrático","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Bienestar Universitario","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Bienestar Universitario","Docente Medio tiempo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Bienestar Universitario","Docente Catedrático","Hombre",9
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Bienestar Universitario","Docente Tiempo completo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Bienestar Universitario","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Bienestar Universitario","Docente Catedrático","Mujer",2
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Departamento de idiomas","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Departamento de idiomas","Docente Medio tiempo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Departamento de idiomas","Docente Catedrático","Hombre",2
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Departamento de idiomas","Docente Tiempo completo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Departamento de idiomas","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Departamento de idiomas","Docente Catedrático","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Medio tiempo","Hombre",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Catedrático","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Tiempo completo","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Catedrático","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Medio tiempo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Catedrático","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Tiempo completo","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Medio tiempo","Mujer",1
