"Municipio","Ano","Tipo Institucion","N_Aprobados","N_Reprobados","N_Desertores","N_Traslados","P_Aprobados","P_Reprobados","P_Desertores","P_Traslados"
"Algeciras",2008,"No Oficial",132,2,16,13,98.5074626866,1.4925373134,,
"Altamira",2008,"No Oficial",,,,,,,,
"Baraya",2008,"No Oficial",,,,,,,,
"Campoalegre",2008,"No Oficial",644,22,20,12,96.6966966967,3.3033033033,,
"Colombia",2008,"No Oficial",,,,,,,,
"Elias",2008,"No Oficial",,,,,,,,
"Garzón",2008,"No Oficial",2018,23,201,74,98.8731014209,1.1268985791,,
"Gigante",2008,"No Oficial",49,1,0,4,98,2,,
"Guadalupe",2008,"No Oficial",89,4,45,0,95.6989247312,4.3010752688,,
"Hobo",2008,"No Oficial",,,,,,,,
"Iquira",2008,"No Oficial",,,,,,,,
"Isnos",2008,"No Oficial",344,3,9,0,99.1354466859,0.8645533141,,
"La Argentina",2008,"No Oficial",,,,,,,,
"La Plata",2008,"No Oficial",358,2,0,3,99.4444444444,0.5555555556,,
"Nátaga",2008,"No Oficial",,,,,,,,
"Neiva",2008,"No Oficial",0,416,488,0,0,100,,
"Oporapa",2008,"No Oficial",,,,,,,,
"Paicol",2008,"No Oficial",,,,,,,,
"Palermo",2008,"No Oficial",270,12,31,0,95.7446808511,4.2553191489,,
"Palestina",2008,"No Oficial",,,,,,,,
"Pital",2008,"No Oficial",103,2,16,10,98.0952380952,1.9047619048,,
"Pitalito",2008,"No Oficial",4030,92,179,21,97.7680737506,2.2319262494,,
"Rivera",2008,"No Oficial",704,17,2,9,97.6421636616,2.3578363384,,
"Saladoblanco",2008,"No Oficial",,,,,,,,
"San Agustín",2008,"No Oficial",371,20,25,0,94.8849104859,5.1150895141,,
"Santa Maria",2008,"No Oficial",,,,,,,,
"Suaza",2008,"No Oficial",157,13,58,0,92.3529411765,7.6470588235,,
"Tarqui",2008,"No Oficial",197,0,11,1,100,0,,
"Tello",2008,"No Oficial",,,,,,,,
"Teruel",2008,"No Oficial",,,,,,,,
"Tesalia",2008,"No Oficial",,,,,,,,
"Timaná",2008,"No Oficial",334,2,15,10,99.4047619048,0.5952380952,,
"Villavieja",2008,"No Oficial",0,0,0,0,,,,
"Yaguará",2008,"No Oficial",188,4,0,12,97.9166666667,2.0833333333,,
"Acevedo",2007,"Oficial",,,,,97.2,2.8,3.9,4.4
"Agrado",2007,"Oficial",,,,,95.5,4.5,6.8,6.8
"Aipe",2007,"Oficial",,,,,96.4,3.6,5.1,7.7
"Algeciras",2007,"Oficial",,,,,97.5,2.5,5.2,6.5
