"Ano","Municipio","Categoria","Numero"
2014,"Rivera","Docente apoyo",0
2014,"Saladoblanco","Docente apoyo",0
2014,"San Agustín","Docente apoyo",0
2014,"Santa Maria","Docente apoyo",0
2014,"Suaza","Docente apoyo",0
2014,"Tarqui","Docente apoyo",1
2014,"Tello","Docente apoyo",0
2014,"Teruel","Docente apoyo",0
2014,"Tesalia","Docente apoyo",1
2014,"Timaná","Docente apoyo",0
2014,"Villavieja","Docente apoyo",0
2014,"Yaguará","Docente apoyo",0
2014,"Acevedo","Orientador",3
2014,"Agrado","Orientador",1
2014,"Aipe","Orientador",1
2014,"Algeciras","Orientador",3
2014,"Altamira","Orientador",1
2014,"Baraya","Orientador",1
2014,"Campoalegre","Orientador",3
2014,"Colombia","Orientador",0
2014,"Elias","Orientador",1
2014,"Garzón","Orientador",8
2014,"Gigante","Orientador",5
2014,"Guadalupe","Orientador",3
2014,"Hobo","Orientador",1
2014,"Iquira","Orientador",1
2014,"Isnos","Orientador",2
2014,"La Argentina","Orientador",2
2014,"La Plata","Orientador",7
2014,"Nátaga","Orientador",1
2014,"Neiva","Orientador",37
2014,"Oporapa","Orientador",1
2014,"Paicol","Orientador",1
2014,"Palermo","Orientador",3
2014,"Palestina","Orientador",1
2014,"Pital","Orientador",1
2014,"Pitalito","Orientador",0
2014,"Rivera","Orientador",2
2014,"Saladoblanco","Orientador",2
2014,"San Agustín","Orientador",2
2014,"Santa Maria","Orientador",1
2014,"Suaza","Orientador",1
2014,"Tarqui","Orientador",2
2014,"Tello","Orientador",2
2014,"Teruel","Orientador",1
2014,"Tesalia","Orientador",1
2014,"Timaná","Orientador",1
2014,"Villavieja","Orientador",0
2014,"Yaguará","Orientador",1
2013,"Acevedo","Rector",9
2013,"Agrado","Rector",3
2013,"Aipe","Rector",3
2013,"Algeciras","Rector",6
2013,"Altamira","Rector",1
2013,"Baraya","Rector",3
2013,"Campoalegre","Rector",5
2013,"Colombia","Rector",5
2013,"Elias","Rector",1
2013,"Garzón","Rector",13
2013,"Gigante","Rector",8
2013,"Guadalupe","Rector",3
2013,"Hobo","Rector",1
2013,"Iquira","Rector",5
2013,"Isnos","Rector",7
2013,"La Argentina","Rector",5
2013,"La Plata","Rector",18
2013,"Nátaga","Rector",4
2013,"Neiva","Rector",0
2013,"Oporapa","Rector",3
2013,"Paicol","Rector",1
2013,"Palermo","Rector",7
2013,"Palestina","Rector",5
2013,"Pital","Rector",4
2013,"Pitalito","Rector",0
2013,"Rivera","Rector",4
2013,"Saladoblanco","Rector",2
2013,"San Agustín","Rector",9
2013,"Santa Maria","Rector",4
2013,"Suaza","Rector",7
2013,"Tarqui","Rector",6
2013,"Tello","Rector",4
2013,"Teruel","Rector",3
2013,"Tesalia","Rector",4
2013,"Timaná","Rector",6
2013,"Villavieja","Rector",3
2013,"Yaguará","Rector",2
2013,"Acevedo","Director rural",0
2013,"Agrado","Director rural",1
2013,"Aipe","Director rural",1
2013,"Algeciras","Director rural",0
2013,"Altamira","Director rural",0
2013,"Baraya","Director rural",2
2013,"Campoalegre","Director rural",1
2013,"Colombia","Director rural",2
2013,"Elias","Director rural",0
2013,"Garzón","Director rural",1
2013,"Gigante","Director rural",0
2013,"Guadalupe","Director rural",0
2013,"Hobo","Director rural",0
2013,"Iquira","Director rural",0
2013,"Isnos","Director rural",0
2013,"La Argentina","Director rural",1
2013,"La Plata","Director rural",0
2013,"Nátaga","Director rural",0
2013,"Neiva","Director rural",0
2013,"Oporapa","Director rural",0
2013,"Paicol","Director rural",0
2013,"Palermo","Director rural",1
2013,"Palestina","Director rural",0
2013,"Pital","Director rural",2
2013,"Pitalito","Director rural",0
2013,"Rivera","Director rural",0
2013,"Saladoblanco","Director rural",0
2013,"San Agustín","Director rural",0
2013,"Santa Maria","Director rural",0
2013,"Suaza","Director rural",0
2013,"Tarqui","Director rural",0
2013,"Tello","Director rural",0
2013,"Teruel","Director rural",0
2013,"Tesalia","Director rural",0
2013,"Timaná","Director rural",0
2013,"Villavieja","Director rural",1
2013,"Yaguará","Director rural",0
2013,"Acevedo","Coordinador",11
2013,"Agrado","Coordinador",3
2013,"Aipe","Coordinador",5
2013,"Algeciras","Coordinador",7
2013,"Altamira","Coordinador",1
2013,"Baraya","Coordinador",3
2013,"Campoalegre","Coordinador",13
2013,"Colombia","Coordinador",1
2013,"Elias","Coordinador",2
2013,"Garzón","Coordinador",23
2013,"Gigante","Coordinador",10
2013,"Guadalupe","Coordinador",8
2013,"Hobo","Coordinador",3
2013,"Iquira","Coordinador",3
2013,"Isnos","Coordinador",9
2013,"La Argentina","Coordinador",3
2013,"La Plata","Coordinador",21
2013,"Nátaga","Coordinador",2
2013,"Neiva","Coordinador",0
2013,"Oporapa","Coordinador",4
2013,"Paicol","Coordinador",3
2013,"Palermo","Coordinador",8
2013,"Palestina","Coordinador",2
2013,"Pital","Coordinador",4
2013,"Pitalito","Coordinador",0
2013,"Rivera","Coordinador",7
2013,"Saladoblanco","Coordinador",5
2013,"San Agustín","Coordinador",11
2013,"Santa Maria","Coordinador",3
2013,"Suaza","Coordinador",5
2013,"Tarqui","Coordinador",7
2013,"Tello","Coordinador",4
2013,"Teruel","Coordinador",2
