"Ano","Municipio","Tipo Institucion","Area","Tipo Nivel Educativo","Grado","Numero Grado","Numero Matriculas"
2014,"Palestina","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Pital","No Oficial","Urbana","Prescolar","Preescolar",0,8
2014,"Pitalito","No Oficial","Urbana","Prescolar","Preescolar",0,322
2014,"Rivera","No Oficial","Urbana","Prescolar","Preescolar",0,37
2014,"Saladoblanco","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"San Agustín","No Oficial","Urbana","Prescolar","Preescolar",0,4
2014,"Santa Maria","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Suaza","No Oficial","Urbana","Prescolar","Preescolar",0,48
2014,"Tarqui","No Oficial","Urbana","Prescolar","Preescolar",0,14
2014,"Tello","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Teruel","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Tesalia","No Oficial","Urbana","Prescolar","Preescolar",0,14
2014,"Timaná","No Oficial","Urbana","Prescolar","Preescolar",0,12
2014,"Villavieja","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Yaguará","No Oficial","Urbana","Prescolar","Preescolar",0,12
2014,"Acevedo","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Agrado","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Aipe","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Algeciras","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Altamira","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Baraya","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Campoalegre","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Colombia","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Elias","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Garzón","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Gigante","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Guadalupe","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Hobo","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Iquira","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Isnos","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"La Argentina","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"La Plata","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Nátaga","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Neiva","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Oporapa","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Paicol","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Palermo","No Oficial","Rural","Prescolar","Preescolar",0,146
2014,"Palestina","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Pital","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Pitalito","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Rivera","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Saladoblanco","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"San Agustín","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Santa Maria","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Suaza","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Tarqui","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Tello","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Teruel","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Tesalia","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Timaná","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Villavieja","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Yaguará","No Oficial","Rural","Prescolar","Preescolar",0,0
2013,"Acevedo","Oficial","Urbana","Prescolar","Preescolar",0,120
2013,"Agrado","Oficial","Urbana","Prescolar","Preescolar",0,84
2013,"Aipe","Oficial","Urbana","Prescolar","Preescolar",0,176
2013,"Algeciras","Oficial","Urbana","Prescolar","Preescolar",0,159
2013,"Altamira","Oficial","Urbana","Prescolar","Preescolar",0,48
2013,"Baraya","Oficial","Urbana","Prescolar","Preescolar",0,70
2013,"Campoalegre","Oficial","Urbana","Prescolar","Preescolar",0,411
2013,"Colombia","Oficial","Urbana","Prescolar","Preescolar",0,44
2013,"Elias","Oficial","Urbana","Prescolar","Preescolar",0,26
2013,"Garzón","Oficial","Urbana","Prescolar","Preescolar",0,486
2013,"Gigante","Oficial","Urbana","Prescolar","Preescolar",0,178
2013,"Guadalupe","Oficial","Urbana","Prescolar","Preescolar",0,74
2013,"Hobo","Oficial","Urbana","Prescolar","Preescolar",0,100
2013,"Iquira","Oficial","Urbana","Prescolar","Preescolar",0,59
2013,"Isnos","Oficial","Urbana","Prescolar","Preescolar",0,103
2013,"La Argentina","Oficial","Urbana","Prescolar","Preescolar",0,114
2013,"La Plata","Oficial","Urbana","Prescolar","Preescolar",0,413
2013,"Nátaga","Oficial","Urbana","Prescolar","Preescolar",0,44
2013,"Neiva","Oficial","Urbana","Prescolar","Preescolar",0,3642
2013,"Oporapa","Oficial","Urbana","Prescolar","Preescolar",0,64
2013,"Paicol","Oficial","Urbana","Prescolar","Preescolar",0,46
2013,"Palermo","Oficial","Urbana","Prescolar","Preescolar",0,166
2013,"Palestina","Oficial","Urbana","Prescolar","Preescolar",0,43
2013,"Pital","Oficial","Urbana","Prescolar","Preescolar",0,77
2013,"Pitalito","Oficial","Urbana","Prescolar","Preescolar",0,1207
2013,"Rivera","Oficial","Urbana","Prescolar","Preescolar",0,173
2013,"Saladoblanco","Oficial","Urbana","Prescolar","Preescolar",0,62
2013,"San Agustín","Oficial","Urbana","Prescolar","Preescolar",0,198
2013,"Santa Maria","Oficial","Urbana","Prescolar","Preescolar",0,67
2013,"Suaza","Oficial","Urbana","Prescolar","Preescolar",0,44
2013,"Tarqui","Oficial","Urbana","Prescolar","Preescolar",0,73
2013,"Tello","Oficial","Urbana","Prescolar","Preescolar",0,76
2013,"Teruel","Oficial","Urbana","Prescolar","Preescolar",0,82
2013,"Tesalia","Oficial","Urbana","Prescolar","Preescolar",0,108
2013,"Timaná","Oficial","Urbana","Prescolar","Preescolar",0,110
2013,"Villavieja","Oficial","Urbana","Prescolar","Preescolar",0,50
2013,"Yaguará","Oficial","Urbana","Prescolar","Preescolar",0,83
2013,"Acevedo","Oficial","Rural","Prescolar","Preescolar",0,490
2013,"Agrado","Oficial","Rural","Prescolar","Preescolar",0,49
2013,"Aipe","Oficial","Rural","Prescolar","Preescolar",0,114
2013,"Algeciras","Oficial","Rural","Prescolar","Preescolar",0,272
2013,"Altamira","Oficial","Rural","Prescolar","Preescolar",0,4
2013,"Baraya","Oficial","Rural","Prescolar","Preescolar",0,64
2013,"Campoalegre","Oficial","Rural","Prescolar","Preescolar",0,80
2013,"Colombia","Oficial","Rural","Prescolar","Preescolar",0,99
2013,"Elias","Oficial","Rural","Prescolar","Preescolar",0,24
2013,"Garzón","Oficial","Rural","Prescolar","Preescolar",0,605
2013,"Gigante","Oficial","Rural","Prescolar","Preescolar",0,246
2013,"Guadalupe","Oficial","Rural","Prescolar","Preescolar",0,159
2013,"Hobo","Oficial","Rural","Prescolar","Preescolar",0,16
2013,"Iquira","Oficial","Rural","Prescolar","Preescolar",0,111
2013,"Isnos","Oficial","Rural","Prescolar","Preescolar",0,225
2013,"La Argentina","Oficial","Rural","Prescolar","Preescolar",0,157
2013,"La Plata","Oficial","Rural","Prescolar","Preescolar",0,669
2013,"Nátaga","Oficial","Rural","Prescolar","Preescolar",0,78
2013,"Neiva","Oficial","Rural","Prescolar","Preescolar",0,450
2013,"Oporapa","Oficial","Rural","Prescolar","Preescolar",0,197
2013,"Paicol","Oficial","Rural","Prescolar","Preescolar",0,58
2013,"Palermo","Oficial","Rural","Prescolar","Preescolar",0,220
2013,"Palestina","Oficial","Rural","Prescolar","Preescolar",0,180
2013,"Pital","Oficial","Rural","Prescolar","Preescolar",0,190
2013,"Pitalito","Oficial","Rural","Prescolar","Preescolar",0,934
2013,"Rivera","Oficial","Rural","Prescolar","Preescolar",0,140
2013,"Saladoblanco","Oficial","Rural","Prescolar","Preescolar",0,179
2013,"San Agustín","Oficial","Rural","Prescolar","Preescolar",0,408
2013,"Santa Maria","Oficial","Rural","Prescolar","Preescolar",0,75
2013,"Suaza","Oficial","Rural","Prescolar","Preescolar",0,249
2013,"Tarqui","Oficial","Rural","Prescolar","Preescolar",0,267
2013,"Tello","Oficial","Rural","Prescolar","Preescolar",0,129
2013,"Teruel","Oficial","Rural","Prescolar","Preescolar",0,58
2013,"Tesalia","Oficial","Rural","Prescolar","Preescolar",0,71
2013,"Timaná","Oficial","Rural","Prescolar","Preescolar",0,197
2013,"Villavieja","Oficial","Rural","Prescolar","Preescolar",0,54
2013,"Yaguará","Oficial","Rural","Prescolar","Preescolar",0,11
2013,"Acevedo","No Oficial","Urbana","Prescolar","Preescolar",0,0
2013,"Agrado","No Oficial","Urbana","Prescolar","Preescolar",0,0
2013,"Aipe","No Oficial","Urbana","Prescolar","Preescolar",0,0
2013,"Algeciras","No Oficial","Urbana","Prescolar","Preescolar",0,26
2013,"Altamira","No Oficial","Urbana","Prescolar","Preescolar",0,0
2013,"Baraya","No Oficial","Urbana","Prescolar","Preescolar",0,0
2013,"Campoalegre","No Oficial","Urbana","Prescolar","Preescolar",0,109
2013,"Colombia","No Oficial","Urbana","Prescolar","Preescolar",0,0
2013,"Elias","No Oficial","Urbana","Prescolar","Preescolar",0,0
2013,"Garzón","No Oficial","Urbana","Prescolar","Preescolar",0,314
2013,"Gigante","No Oficial","Urbana","Prescolar","Preescolar",0,0
2013,"Guadalupe","No Oficial","Urbana","Prescolar","Preescolar",0,0
2013,"Hobo","No Oficial","Urbana","Prescolar","Preescolar",0,0
2013,"Iquira","No Oficial","Urbana","Prescolar","Preescolar",0,0
2013,"Isnos","No Oficial","Urbana","Prescolar","Preescolar",0,8
2013,"La Argentina","No Oficial","Urbana","Prescolar","Preescolar",0,17
2013,"La Plata","No Oficial","Urbana","Prescolar","Preescolar",0,54
2013,"Nátaga","No Oficial","Urbana","Prescolar","Preescolar",0,0
